epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.134,2.00155,2.45056,1.84053,0.21805,0.0991,0.05193,0.01712,2.39163,274.314,2.32414,0.0700637,0.00332626,0.00332626
2,269.071,1.98093,2.28877,1.81595,0.28686,0.28031,0.19034,0.07037,1.90447,38.2293,1.77355,0.0400535,0.00664943,0.00664943
3,391.665,1.90755,2.15596,1.7415,0.30013,0.30449,0.2351,0.09123,1.85705,21.5802,1.70133,0.0100028,0.00993202,0.00993202
4,511.746,1.86701,2.09626,1.70442,0.40651,0.3587,0.31112,0.12179,1.86566,11.022,1.79256,0.00986323,0.00986323,0.00986323
5,632.188,1.81024,1.97721,1.65329,0.43495,0.41513,0.36115,0.1508,1.69272,14.8314,1.55051,0.00975773,0.00975773,0.00975773
6,753.196,1.76839,1.91208,1.6314,0.35481,0.40483,0.31692,0.13485,1.80601,29.1605,1.73427,0.0096232,0.0096232,0.0096232
7,873.16,1.73517,1.84108,1.6009,0.50264,0.47434,0.46834,0.21084,1.62566,10.2678,1.48988,0.00946048,0.00946048,0.00946048
8,992.625,1.70898,1.79794,1.57238,0.49147,0.44542,0.41274,0.19188,1.58704,11.8727,1.47197,0.00927057,0.00927057,0.00927057
9,1112.78,1.68823,1.76394,1.56275,0.55971,0.44936,0.47802,0.22084,1.59041,12.3259,1.48761,0.00905463,0.00905463,0.00905463
10,1232.26,1.6702,1.72218,1.54879,0.56818,0.46139,0.48057,0.22851,1.57818,3.29052,1.45153,0.00881401,0.00881401,0.00881401
11,1351.89,1.66421,1.69554,1.53437,0.54802,0.51313,0.5227,0.24839,1.52737,6.21489,1.41665,0.00855018,0.00855018,0.00855018
12,1471.25,1.64023,1.68053,1.52542,0.57503,0.51032,0.5322,0.25537,1.53758,4.58455,1.44433,0.00826477,0.00826477,0.00826477
13,1590.58,1.61965,1.63726,1.51341,0.57515,0.51571,0.53445,0.2662,1.48979,4.3364,1.37927,0.00795954,0.00795954,0.00795954
14,1710.44,1.59385,1.6072,1.49795,0.61408,0.52189,0.55991,0.28187,1.46619,4.36783,1.3631,0.00763637,0.00763637,0.00763637
15,1830.3,1.58211,1.56901,1.47969,0.62846,0.54697,0.58523,0.29767,1.43334,4.83818,1.33439,0.00729725,0.00729725,0.00729725
16,1949.55,1.57857,1.56573,1.48043,0.63391,0.53961,0.58928,0.29979,1.4332,3.14994,1.33157,0.00694428,0.00694428,0.00694428
17,2068.82,1.56642,1.53466,1.46852,0.6441,0.55345,0.60927,0.3123,1.43329,3.06388,1.34514,0.00657963,0.00657963,0.00657963
18,2188.19,1.55785,1.51869,1.46089,0.60218,0.56945,0.5987,0.30967,1.41661,5.8788,1.32167,0.00620555,0.00620555,0.00620555
19,2307.43,1.55105,1.49822,1.45913,0.65806,0.56994,0.62544,0.32862,1.42416,3.51826,1.32935,0.00582435,0.00582435,0.00582435
20,2426.66,1.52897,1.47731,1.44333,0.65535,0.58768,0.63813,0.34648,1.36749,3.347,1.28397,0.00543837,0.00543837,0.00543837
21,2546.43,1.51865,1.45019,1.43122,0.64446,0.5833,0.63094,0.34356,1.37646,2.85498,1.29574,0.00505,0.00505,0.00505
22,2669.62,1.50007,1.42303,1.42373,0.67351,0.57142,0.63658,0.33938,1.38967,3.19833,1.30111,0.00466163,0.00466163,0.00466163
23,2793.57,1.49963,1.40576,1.41987,0.66963,0.58517,0.64372,0.35249,1.36108,2.4168,1.28238,0.00427565,0.00427565,0.00427565
24,2916.5,1.47901,1.38294,1.40666,0.6831,0.59393,0.66087,0.36071,1.35083,2.66337,1.26703,0.00389445,0.00389445,0.00389445
25,3043.67,1.47118,1.36637,1.40399,0.68737,0.6116,0.66995,0.36365,1.36049,2.66222,1.27245,0.00352037,0.00352037,0.00352037
26,3163.99,1.4609,1.34904,1.39915,0.69957,0.60648,0.67397,0.36994,1.33779,2.08245,1.25942,0.00315572,0.00315572,0.00315572
27,3283.75,1.45377,1.33642,1.38801,0.70113,0.61913,0.68349,0.37552,1.33603,2.32822,1.26345,0.00280275,0.00280275,0.00280275
