epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,138.197,1.40973,1.22408,1.35334,0.7208,0.6512,0.71842,0.402,1.30806,1.99977,1.2363,0.00770234,0.00770234,0.00770234
34,258.976,1.41379,1.22978,1.35915,0.71731,0.6526,0.71915,0.40494,1.29984,1.83644,1.23137,0.00756976,0.00756976,0.00756976
35,380.378,1.40847,1.21419,1.35531,0.73338,0.64313,0.72042,0.41113,1.29822,1.61533,1.2293,0.00743468,0.00743468,0.00743468
36,502.087,1.40233,1.21697,1.3508,0.72327,0.65252,0.72008,0.40581,1.297,1.61894,1.23596,0.00729725,0.00729725,0.00729725
37,624.161,1.3983,1.20918,1.342,0.72729,0.66433,0.72458,0.41297,1.29727,1.49857,1.23013,0.00715761,0.00715761,0.00715761
38,746.387,1.39298,1.20317,1.34994,0.73572,0.65544,0.7264,0.41262,1.29703,1.61794,1.22613,0.00701588,0.00701588,0.00701588
39,866.259,1.39084,1.1852,1.34006,0.74014,0.65845,0.72728,0.41312,1.29817,1.4408,1.22634,0.00687222,0.00687222,0.00687222
40,985.588,1.39088,1.18839,1.33747,0.74628,0.64967,0.72862,0.4156,1.29027,1.44081,1.22724,0.00672675,0.00672675,0.00672675
41,1105.11,1.37959,1.18462,1.33239,0.74572,0.65555,0.73017,0.41531,1.28364,1.3717,1.22427,0.00657963,0.00657963,0.00657963
42,1224.47,1.37265,1.17424,1.33138,0.72395,0.67383,0.73004,0.41639,1.28667,1.47716,1.22957,0.00643101,0.00643101,0.00643101
43,1344.1,1.37386,1.16478,1.3239,0.74801,0.65759,0.73304,0.42012,1.28561,1.38374,1.2269,0.00628101,0.00628101,0.00628101
44,1463.74,1.37958,1.17638,1.33395,0.74274,0.6601,0.7329,0.4203,1.28238,1.37344,1.21853,0.00612981,0.00612981,0.00612981
45,1583.1,1.36905,1.15676,1.33032,0.74524,0.66645,0.73589,0.42188,1.27917,1.34675,1.21782,0.00597754,0.00597754,0.00597754
46,1703.02,1.35192,1.1455,1.32163,0.73789,0.67143,0.73443,0.42243,1.2709,1.39211,1.2116,0.00582435,0.00582435,0.00582435
47,1822.62,1.35127,1.13896,1.31228,0.74126,0.66937,0.73685,0.42393,1.27156,1.41636,1.21412,0.0056704,0.0056704,0.0056704
48,1941.88,1.35539,1.13279,1.31814,0.73923,0.66626,0.73732,0.42446,1.27651,1.43967,1.21739,0.00551584,0.00551584,0.00551584
49,2061.44,1.34404,1.12313,1.30767,0.74609,0.6651,0.7394,0.42577,1.27495,1.4065,1.21609,0.00536081,0.00536081,0.00536081
50,2180.84,1.34439,1.12266,1.30262,0.74975,0.66232,0.738,0.42667,1.27433,1.37956,1.21506,0.00520548,0.00520548,0.00520548
51,2300.3,1.34163,1.11336,1.30807,0.75122,0.66485,0.7391,0.42632,1.27534,1.35562,1.21575,0.00505,0.00505,0.00505
52,2420.21,1.3344,1.11268,1.30179,0.75278,0.66364,0.74069,0.42701,1.27625,1.37818,1.21651,0.00489452,0.00489452,0.00489452
53,2539.59,1.32871,1.10635,1.29592,0.7548,0.65954,0.7419,0.42851,1.27754,1.35223,1.21721,0.00473919,0.00473919,0.00473919
54,2658.96,1.322,1.0898,1.29485,0.75306,0.66055,0.74132,0.428,1.27478,1.33592,1.2144,0.00458416,0.00458416,0.00458416
55,2778.33,1.32194,1.09103,1.2935,0.75045,0.66435,0.74064,0.42731,1.27181,1.30434,1.21426,0.0044296,0.0044296,0.0044296
56,2901.85,1.31903,1.07832,1.28989,0.75233,0.66764,0.74042,0.42761,1.26973,1.28781,1.2117,0.00427565,0.00427565,0.00427565
57,3026.41,1.31462,1.07824,1.2941,0.75671,0.66733,0.74222,0.42913,1.26975,1.27656,1.21161,0.00412246,0.00412246,0.00412246
58,3151.21,1.30883,1.07461,1.29115,0.75588,0.67189,0.74276,0.43009,1.26781,1.27728,1.21134,0.00397019,0.00397019,0.00397019
59,3272.67,1.30963,1.07286,1.28452,0.7565,0.66892,0.74463,0.43113,1.26595,1.2719,1.20954,0.00381899,0.00381899,0.00381899
60,3396.44,1.30447,1.06807,1.28538,0.76051,0.66793,0.74428,0.43162,1.2652,1.27673,1.20857,0.00366899,0.00366899,0.00366899
61,3528.79,1.30016,1.05234,1.28089,0.76239,0.66797,0.74541,0.43212,1.26514,1.27674,1.20852,0.00352037,0.00352037,0.00352037
62,3663.75,1.29888,1.04958,1.28345,0.75937,0.66947,0.7451,0.43209,1.26691,1.25947,1.20988,0.00337325,0.00337325,0.00337325
63,3795.84,1.2985,1.06032,1.27973,0.76128,0.66969,0.74588,0.43241,1.26778,1.24483,1.21084,0.00322778,0.00322778,0.00322778
64,3923.55,1.29623,1.04437,1.27818,0.76027,0.67192,0.74635,0.432,1.26806,1.22583,1.21102,0.00308412,0.00308412,0.00308412
65,4055.27,1.29559,1.05107,1.28055,0.7591,0.67206,0.74558,0.43084,1.26732,1.21952,1.21105,0.00294239,0.00294239,0.00294239
66,4178.53,1.30409,1.04738,1.27563,0.76045,0.67027,0.74655,0.43206,1.26735,1.21293,1.21061,0.00280275,0.00280275,0.00280275
67,4298.99,1.29458,1.03796,1.27689,0.76047,0.67169,0.74695,0.43225,1.26677,1.20714,1.21056,0.00266532,0.00266532,0.00266532
68,4425.02,1.30136,1.03895,1.27707,0.76184,0.6717,0.7465,0.43304,1.2669,1.20003,1.21086,0.00253024,0.00253024,0.00253024
69,4551.51,1.29408,1.03899,1.27528,0.76008,0.673,0.74616,0.43317,1.26653,1.19412,1.21019,0.00239766,0.00239766,0.00239766
70,4670.93,1.28725,1.02769,1.27467,0.7671,0.66933,0.74571,0.43272,1.26607,1.18616,1.2097,0.00226769,0.00226769,0.00226769
71,4790.39,1.27851,1.02342,1.26706,0.76583,0.6706,0.74769,0.43329,1.26626,1.18361,1.20981,0.00214046,0.00214046,0.00214046
72,4918.05,1.28767,1.02057,1.26989,0.76743,0.66852,0.7478,0.43329,1.26597,1.18167,1.20948,0.00201611,0.00201611,0.00201611
73,5047.14,1.2746,1.01877,1.26517,0.76912,0.66706,0.74875,0.43322,1.26596,1.17767,1.20894,0.00189475,0.00189475,0.00189475
74,5172.39,1.27725,1.01833,1.26757,0.76636,0.66998,0.74904,0.4337,1.26553,1.16881,1.20881,0.00177651,0.00177651,0.00177651
75,5294.85,1.27168,1.01737,1.26038,0.77017,0.6657,0.74986,0.43413,1.26558,1.16538,1.20857,0.00166149,0.00166149,0.00166149
76,5421.3,1.27522,1.0156,1.26314,0.76695,0.66664,0.74978,0.43399,1.26526,1.1605,1.20791,0.00154982,0.00154982,0.00154982
77,5550.04,1.27165,1.01392,1.26356,0.76978,0.66668,0.74981,0.43393,1.2647,1.15923,1.20712,0.00144161,0.00144161,0.00144161
78,5672.35,1.27457,1.00156,1.25866,0.76977,0.66765,0.74987,0.43381,1.26428,1.15638,1.20665,0.00133695,0.00133695,0.00133695
79,5797.29,1.26454,0.99686,1.25733,0.76912,0.66917,0.75009,0.43389,1.26355,1.15101,1.20588,0.00123596,0.00123596,0.00123596
80,5919.31,1.26546,0.99563,1.25489,0.76939,0.67037,0.75028,0.43414,1.26364,1.14615,1.20578,0.00113873,0.00113873,0.00113873
81,6043.27,1.25862,0.98773,1.25456,0.76824,0.67178,0.74989,0.43473,1.26381,1.14518,1.20577,0.00104537,0.00104537,0.00104537
82,6170.41,1.26389,0.98372,1.253,0.77143,0.67029,0.75083,0.4345,1.26376,1.1431,1.20589,0.000955951,0.000955951,0.000955951
83,6292.45,1.2586,0.97919,1.25102,0.77065,0.67076,0.75138,0.43496,1.26375,1.14004,1.20601,0.000870577,0.000870577,0.000870577
84,6413.98,1.2583,0.98796,1.25281,0.76813,0.67181,0.75144,0.43501,1.26376,1.13762,1.20594,0.000789327,0.000789327,0.000789327
85,6535.53,1.25601,0.98248,1.24744,0.76687,0.67307,0.75051,0.43513,1.26395,1.13409,1.20609,0.000712282,0.000712282,0.000712282
86,6655.97,1.24936,0.98175,1.24851,0.76745,0.67443,0.74994,0.43492,1.26367,1.13162,1.20617,0.000639518,0.000639518,0.000639518
87,6779.63,1.25752,0.98908,1.25292,0.76682,0.67576,0.75065,0.43514,1.26378,1.12965,1.20602,0.000571106,0.000571106,0.000571106
88,6905.71,1.25494,0.97147,1.24766,0.76769,0.67673,0.75069,0.435,1.26432,1.12767,1.20635,0.000507115,0.000507115,0.000507115
89,7027.56,1.25204,0.9785,1.24643,0.76532,0.67617,0.75006,0.43496,1.26468,1.12683,1.20657,0.000447606,0.000447606,0.000447606
90,7147.25,1.24448,0.9692,1.2438,0.7616,0.67967,0.74937,0.43527,1.26457,1.12647,1.20658,0.00039264,0.00039264,0.00039264
91,7267.17,1.32768,0.99152,1.30051,0.76081,0.67879,0.74888,0.4352,1.265,1.12763,1.20669,0.00034227,0.00034227,0.00034227
92,7386.4,1.29459,0.95331,1.27857,0.76295,0.68026,0.75003,0.43556,1.26549,1.1283,1.20719,0.000296546,0.000296546,0.000296546
93,7505.93,1.28636,0.93872,1.27538,0.76026,0.67857,0.74854,0.43521,1.266,1.12732,1.2073,0.000255513,0.000255513,0.000255513
94,7625.05,1.28169,0.92891,1.27053,0.76035,0.67815,0.74826,0.43508,1.26639,1.12644,1.20737,0.000219212,0.000219212,0.000219212
95,7745.01,1.27576,0.92731,1.27122,0.76249,0.67847,0.74878,0.43505,1.26664,1.12629,1.20752,0.000187678,0.000187678,0.000187678
96,7866.56,1.26852,0.92069,1.26052,0.76232,0.67924,0.74923,0.43511,1.26717,1.12527,1.2079,0.000160943,0.000160943,0.000160943
97,7986.35,1.2766,0.9189,1.26504,0.76285,0.67866,0.74847,0.43453,1.26753,1.12481,1.20823,0.000139032,0.000139032,0.000139032
98,8107.16,1.27624,0.92243,1.26861,0.76289,0.67871,0.74831,0.43459,1.26765,1.12536,1.20826,0.000121968,0.000121968,0.000121968
99,8228.74,1.27159,0.9145,1.26663,0.76394,0.6789,0.74818,0.4347,1.26795,1.12437,1.20861,0.000109768,0.000109768,0.000109768
100,8362.15,1.2762,0.91799,1.26639,0.765,0.67924,0.7489,0.4349,1.26831,1.12482,1.20869,0.000102443,0.000102443,0.000102443
