epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.155,1.76504,1.77885,1.66283,0.59333,0.49853,0.52364,0.22589,1.60649,4.10556,1.42986,0.0802224,0.000199773,0.000199773
2,436.977,1.71582,1.72335,1.62411,0.65826,0.58806,0.62807,0.28919,1.49217,4.39652,1.34358,0.0604223,0.000399619,0.000399619
3,557.638,1.70055,1.69586,1.60845,0.68999,0.59343,0.64533,0.29984,1.49169,2.59843,1.32731,0.0406215,0.000598849,0.000598849
4,676.912,1.6795,1.65354,1.58345,0.6811,0.58063,0.63915,0.30083,1.48012,4.00769,1.32503,0.0208197,0.000797002,0.000797002
5,800.705,1.6559,1.63472,1.57328,0.70382,0.60371,0.66818,0.32577,1.42293,2.35643,1.27632,0.00101627,0.00099362,0.00099362
6,921.661,1.63678,1.61568,1.56158,0.7,0.6119,0.66588,0.33231,1.39769,3.67052,1.25868,0.000990394,0.000990394,0.000990394
7,1043.32,1.63485,1.60899,1.55856,0.68307,0.61627,0.66772,0.32892,1.39917,2.61687,1.25862,0.000986186,0.000986186,0.000986186
8,1163.2,1.62667,1.59947,1.5543,0.68195,0.59003,0.64434,0.32182,1.39181,2.52634,1.26395,0.000981229,0.000981229,0.000981229
9,1292.22,1.6272,1.60023,1.55332,0.70901,0.60011,0.65991,0.33069,1.36439,2.4179,1.24546,0.000975531,0.000975531,0.000975531
10,1419.71,1.60824,1.57055,1.53811,0.7093,0.6113,0.67379,0.3475,1.33913,2.41765,1.2218,0.000969099,0.000969099,0.000969099
11,1542.83,1.61046,1.57963,1.54581,0.7038,0.61457,0.67228,0.34229,1.35902,2.57494,1.23625,0.000961944,0.000961944,0.000961944
12,1661.9,1.61595,1.57932,1.54248,0.68862,0.60933,0.65927,0.34118,1.32913,2.50598,1.22064,0.000954076,0.000954076,0.000954076
13,1785.38,1.61176,1.5704,1.53829,0.7164,0.60535,0.67376,0.35028,1.32366,1.89983,1.21431,0.000945509,0.000945509,0.000945509
14,1931.89,1.60514,1.5721,1.53484,0.70731,0.60925,0.6683,0.34683,1.32563,2.23646,1.21671,0.000936254,0.000936254,0.000936254
15,2058.39,1.59799,1.54332,1.52562,0.71,0.60535,0.67725,0.35097,1.32414,2.20338,1.21198,0.000926327,0.000926327,0.000926327
16,2182.32,1.60388,1.56738,1.53528,0.6994,0.60839,0.67345,0.35425,1.30238,2.05566,1.20198,0.000915743,0.000915743,0.000915743
17,2306.68,1.59683,1.55879,1.53203,0.7004,0.612,0.67363,0.35022,1.31318,2.33163,1.21385,0.000904518,0.000904518,0.000904518
18,2430.91,1.59576,1.54406,1.52515,0.70145,0.6141,0.6737,0.35539,1.30235,2.18016,1.20237,0.000892669,0.000892669,0.000892669
19,2553.06,1.59392,1.55567,1.53384,0.70571,0.60607,0.67691,0.3597,1.29258,2.19337,1.19691,0.000880215,0.000880215,0.000880215
20,2678.55,1.58709,1.5389,1.52628,0.70759,0.61609,0.67923,0.36105,1.28898,2.15318,1.19186,0.000867175,0.000867175,0.000867175
21,2803.25,1.58053,1.5433,1.52432,0.70212,0.61888,0.67951,0.36288,1.28979,2.13079,1.19054,0.000853568,0.000853568,0.000853568
22,2930.79,1.57796,1.53609,1.51916,0.70577,0.61685,0.67934,0.36208,1.28469,2.18814,1.19032,0.000839416,0.000839416,0.000839416
23,3056.16,1.57674,1.52663,1.52326,0.69806,0.61418,0.68093,0.36401,1.27938,1.9721,1.1849,0.000824742,0.000824742,0.000824742
24,3182.91,1.57472,1.53158,1.51898,0.69966,0.62863,0.68231,0.36637,1.2857,2.08854,1.19354,0.000809566,0.000809566,0.000809566
